ecor_strain	gcf_accession	known_phylogroup	reported_phylogroup	clermont_phylogroup	phylo_lineage	match	note
ECOR-1	GCF_003334405.1	A	A	A	A	YES	
ECOR-2	GCF_003334385.1	A	A	A	A	YES	
ECOR-3	GCF_003334815.1	A	A	A	A	YES	
ECOR-4	GCF_003334355.1	A	A	A	A	YES	
ECOR-5	GCF_003334335.1	A	A	A	A	YES	
ECOR-6	GCF_003334315.1	A	A	A	A	YES	
ECOR-7	GCF_003334305.1	A	A	B1	B1	NO	literature A; phylogenetic lineage & in-silico tools = B1
ECOR-8	GCF_003334765.1	A	A	A	A	YES	
ECOR-9	GCF_003334255.1	A	A	A	A	YES	
ECOR-10	GCF_003334785.1	A	A	A	A	YES	
ECOR-11	GCF_003334245.1	A	A	A	A	YES	
ECOR-12	GCF_003334775.1	A	A	A	A	YES	
ECOR-13	GCF_003334235.1	A	A	A	A	YES	
ECOR-14	GCF_003334705.1	A	A	A	A	YES	
ECOR-15	GCF_003334225.1	A	A	A	A	YES	
ECOR-16	GCF_003334675.1	A	A	A	A	YES	
ECOR-17	GCF_003334175.1	A	A	A	A	YES	
ECOR-18	GCF_003334715.1	A	A	A	A	YES	
ECOR-19	GCF_003334165.1	A	A	A	A	YES	
ECOR-20	GCF_003334155.1	A	A	A	A	YES	
ECOR-21	GCF_003334145.1	A	A	A	A	YES	
ECOR-22	GCF_003334115.1	A	A	A	A	YES	
ECOR-23	GCF_003334095.1	A	A	B2	B2	NO	literature A; phylogenetic lineage & in-silico tools = B2
ECOR-24	GCF_003334085.1	A	A	A	A	YES	
ECOR-25	GCF_003334065.1	A	A	A	A	YES	
ECOR-26	GCF_003334035.1	B1	B1	B1	B1	YES	
ECOR-27	GCF_003334665.1	B1	B1	B1	B1	YES	
ECOR-28	GCF_003334015.1	B1	B1	B1	B1	YES	
ECOR-29	GCF_003334005.1	B1	B1	B1	B1	YES	
ECOR-30	GCF_003333975.1	B1	B1	B1	B1	YES	
ECOR-31	GCF_003333945.1	E	E	E	E	YES	
ECOR-32	GCF_003333935.1	B1	B1	B1	B1	YES	
ECOR-33	GCF_003333925.1	B1	B1	B1	B1	YES	
ECOR-34	GCF_003334625.1	B1	B1	B1	B1	YES	
ECOR-35	GCF_003334735.1	F	F	F	F	YES	
ECOR-36	GCF_003333875.1	F	F	F	F	YES	
ECOR-37	GCF_003333865.1	E	E	E	E	YES	
ECOR-38	GCF_003334605.1	F	F	F	F	YES	
ECOR-39	GCF_003333855.1	F	F	F	F	YES	
ECOR-40	GCF_003333845.1	F	F	F	F	YES	
ECOR-41	GCF_003333795.1	F	F	F	F	YES	
ECOR-42	GCF_003333785.1	E	E	E	E	YES	
ECOR-43	GCF_003333775.1	A	A	E	E	NO	literature A; phylogenetic lineage & in-silico tools = E
ECOR-44	GCF_003333765.1	D	D	D	D	YES	
ECOR-45	GCF_003333735.1	B1	B1	B1	B1	YES	
ECOR-46	GCF_003334585.1	D	D	D	D	YES	
ECOR-47	GCF_003333715.1	D	D (CGA +)	D	D	YES	
ECOR-48	GCF_003334535.1	D	D	D	D	YES	
ECOR-49	GCF_003333685.1	D	D	G	D	NO	contaminated assembly; ClermonTyping & EzClermont both mistype as G
ECOR-50	GCF_003333675.1	D	D	D	D	YES	
ECOR-51	GCF_003334615.1	B2	B2 II	B2	B2	YES	
ECOR-52	GCF_003334495.1	B2	B2 II	B2	B2	YES	
ECOR-53	GCF_003333655.1	B2	B2 VI	B2	B2	YES	
ECOR-54	GCF_003333615.1	B2	B2 II	B2	B2	YES	
ECOR-55	GCF_003333605.1	B2	B2 II	B2	B2	YES	
ECOR-56	GCF_003334485.1	B2	B2 II	B2	B2	YES	
ECOR-57	GCF_003334555.1	B2	B2 II	B2	B2	YES	
ECOR-58	GCF_003333645.1	B1	B1	B1	B1	YES	
ECOR-59	GCF_003335465.1	B2	B2 VI	B2	B2	YES	
ECOR-60	GCF_003333585.1	B2	B2 VI	B2	B2	YES	
ECOR-61	GCF_003333565.1	B2	B2 IX	B2	B2	YES	
ECOR-62	GCF_003333545.1	B2	B2 IX	B2	B2	YES	
ECOR-63	GCF_003333505.1	B2	B2 UA	B2	B2	YES	
ECOR-64	GCF_003334525.1	B2	B2 VII	B2	B2	YES	
ECOR-65	GCF_003333495.1	B2	B2 UA	B2	B2	YES	
ECOR-66	GCF_003333435.1	B2	B2 I	B2	B2	YES	
ECOR-67	GCF_003334465.1	B1	B1	B1	B1	YES	
ECOR-68	GCF_003333425.1	B1	B1	B1	B1	YES	
ECOR-69	GCF_003334435.1	B1	B1	B1	B1	YES	
ECOR-70	GCF_003333475.1	C	C	C	C	YES	
ECOR-71	GCF_003333385.1	B1	B1	C	C	NO	literature B1; phylogenetic lineage & in-silico tools = C
ECOR-72	GCF_003334425.1	B1	B1	C	B1	NO	known in-silico limitation; ClermonTyping & EzClermont both call C
